Language;Group;Speaker;Grapheme;Task;File;Word;Plosion_index;VOT;Length;Gender;Burst
French;Monolinguals;201;v;PW;b__201_PW_vespe;vespe;6.213775796;89.365079;94.353741;F;
French;Monolinguals;201;v;PW;b__201_PW_vianpe;vianpe;4.42324864;52.237533;76.757191;F;
French;Monolinguals;201;v;PW;b__201_PW_viblite;viblite;5.821565858;46.326531;72.798698;F;
French;Monolinguals;201;v;PW;b__201_PW_vije;vije;10.24308001;59.569161;93.345112;F;
French;Monolinguals;201;v;PW;b__201_PW_viloupe;viloupe;14.70915349;18.123226;52.237533;F;
French;Monolinguals;201;v;PW;b__201_PW_vipe;vipe;10.91181378;44.796977;71.183412;F;
French;Monolinguals;201;v;PW;b__201_PW_viteuil;viteuil;16.28994723;69.274376;74.263039;F;
French;Monolinguals;201;v;PW;b__201_PW_vobur;vobur;4.699430957;60.521542;65.510204;F;
French;Monolinguals;201;v;PW;b__201_PW_vodais;vodais;3.096664776;75.703177;80.69184;F;
French;Monolinguals;201;v;PW;b__201_PW_voissule;voissule;3.308341651;46.417234;51.405896;F;
French;Monolinguals;201;v;PW;b__201_PW_voûle;voûle;2.944126953;115.306122;120.294785;F;
French;Monolinguals;201;v;PW;b__201_PW_vèbe;vèbe;8.052813085;106.825397;111.814059;F;
French;Monolinguals;201;v;PW;b__201_PW_vô;vô;2.488185615;100.816327;105.804989;F;
French;Monolinguals;201;v;reading;b__201_read_vaisseau;vaisseau;4.224171147;40.839002;45.827664;F;
French;Monolinguals;201;v;reading;b__201_read_valet;valet;6.558401583;52.329427;69.259536;F;
French;Monolinguals;201;v;reading;b__201_read_valise;valise;20.68280798;31.256704;53.384422;F;
French;Monolinguals;201;v;reading;b__201_read_vase;vase;7.319409609;69.68254;99.319222;F;
French;Monolinguals;201;v;reading;b__201_read_vautour;vautour;4.056696249;46.738997;61.92917;F;
French;Monolinguals;201;v;reading;b__201_read_veau;veau;3.191767525;103.205157;136.711565;F;
French;Monolinguals;201;v;reading;b__201_read_veilleuse;veilleuse;11.98676812;47.907472;70.108495;F;
French;Monolinguals;201;v;reading;b__201_read_ver;ver;7.391524149;68.798186;83.319222;F;
French;Monolinguals;201;v;reading;b__201_read_verrou;verrou;5.208445957;16.52691;33.623734;F;
French;Monolinguals;201;v;reading;b__201_read_veste;veste;15.62277496;44.557823;75.544894;F;
French;Monolinguals;201;v;reading;b__201_read_viande;viande;5.44195636;47.324263;113.640898;F;
French;Monolinguals;201;v;reading;b__201_read_vide;vide;25.33261696;73.24263;96.880907;F;
French;Monolinguals;201;v;reading;b__201_read_village;village;17.66241415;56.122647;69.327975;F;
