;Unnamed: 0;Language;Group;Speaker;Grapheme;Task;File;Problem;Word;Plosive_Index;VOT;Length;Gender;Fricatived
83;83;French;Monolinguals;201;v;PW;b__201_PW_vaupans;;vaupans;3.335853171;47.97324400000001;67.162542;F;False
84;84;French;Monolinguals;201;v;PW;b__201_PW_veillade;;veillade;8.702816087999999;58.633965;97.01256;F;False
85;85;French;Monolinguals;201;v;PW;b__201_PW_verrile;;verrile;4.1229132910000015;82.138791;87.127453;F;False
86;86;French;Monolinguals;201;v;PW;b__201_PW_vespe;;vespe;6.213775796;89.36507900000002;94.353741;F;False
87;87;French;Monolinguals;201;v;PW;b__201_PW_vianpe;;vianpe;4.42324864;52.237533;76.757191;F;False
88;88;French;Monolinguals;201;v;PW;b__201_PW_viblite;;viblite;5.821565858;46.326531;72.798698;F;False
89;89;French;Monolinguals;201;v;PW;b__201_PW_vije;;vije;10.24308001;59.569161;93.345112;F;False
90;90;French;Monolinguals;201;v;PW;b__201_PW_viloupe;;viloupe;14.70915349;18.123226000000006;52.237533;F;False
91;91;French;Monolinguals;201;v;PW;b__201_PW_vipe;;vipe;10.91181378;44.79697700000001;71.183412;F;False
92;92;French;Monolinguals;201;v;PW;b__201_PW_viteuil;;viteuil;16.28994723;69.274376;74.263039;F;False
93;93;French;Monolinguals;201;v;PW;b__201_PW_vobur;;vobur;4.699430957;60.52154200000001;65.510204;F;False
94;94;French;Monolinguals;201;v;PW;b__201_PW_vodais;;vodais;3.0966647760000003;75.703177;80.69184;F;False
95;95;French;Monolinguals;201;v;PW;b__201_PW_voissule;;voissule;3.308341651;46.417234;51.40589600000001;F;False
96;96;French;Monolinguals;201;v;PW;b__201_PW_voûle;;voûle;2.944126953;115.306122;120.294785;F;False
97;97;French;Monolinguals;201;v;PW;b__201_PW_vèbe;;vèbe;8.052813085;106.825397;111.814059;F;False
98;98;French;Monolinguals;201;v;PW;b__201_PW_vô;;vô;2.488185615;100.816327;105.804989;F;False
99;99;French;Monolinguals;201;v;reading;b__201_read_vaisseau;;vaisseau;4.224171147;40.839002;45.827664;F;False
100;100;French;Monolinguals;201;v;reading;b__201_read_valet;;valet;6.558401582999999;52.329427;69.259536;F;False
101;101;French;Monolinguals;201;v;reading;b__201_read_valise;;valise;20.68280798;31.25670400000001;53.384422;F;False
102;102;French;Monolinguals;201;v;reading;b__201_read_vase;;vase;7.319409609;69.68254;99.319222;F;False
103;103;French;Monolinguals;201;v;reading;b__201_read_vautour;;vautour;4.056696249;46.738997;61.92916999999999;F;False
104;104;French;Monolinguals;201;v;reading;b__201_read_veau;;veau;3.191767525;103.205157;136.71156499999998;F;False
105;105;French;Monolinguals;201;v;reading;b__201_read_veilleuse;;veilleuse;11.98676812;47.907472;70.10849499999999;F;False
106;106;French;Monolinguals;201;v;reading;b__201_read_ver;;ver;7.3915241489999985;68.798186;83.319222;F;False
107;107;French;Monolinguals;201;v;reading;b__201_read_verrou;;verrou;5.208445957;16.526909999999994;33.623734000000006;F;False
108;108;French;Monolinguals;201;v;reading;b__201_read_veste;;veste;15.62277496;44.557823000000006;75.544894;F;False
109;109;French;Monolinguals;201;v;reading;b__201_read_viande;;viande;5.44195636;47.324263;113.640898;F;False
110;110;French;Monolinguals;201;v;reading;b__201_read_vide;;vide;25.33261696;73.24263;96.880907;F;False
